country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality
Albania,2007,4.634251595,8.984320641,0.821371615,67.16507721,0.528604746,-0.008007661,0.874699533,0.552677572,0.24633503,0.300680578,-0.052545309
Albania,2012,5.510124207,9.189268112,0.784501791,67.94297791,0.601512134,-0.169465303,0.847675204,0.606635928,0.271393239,0.364893705,-0.080255359
Albania,2013,4.550647736,9.201384544,0.759476721,68.10704041,0.631830275,-0.127928138,0.862904966,0.633608878,0.338378578,0.338094711,0.046827607
Albania,2014,4.813763142,9.223851204,0.625586927,68.27110291,0.734648407,-0.025756422,0.882704437,0.684910536,0.334542662,0.49878639,0.318415493
Austria,2006,7.122211456,10.64822578,0.936350405,70.01869965,0.941382349,0.293191671,0.490111172,0.823104739,0.173811689,0.497037798,1.245759606
Austria,2008,7.180953979,10.69278336,0.934592783,70.5018692,0.879069269,0.281785101,0.613625228,0.832169592,0.173194528,0.257242203,1.368347287
Austria,2010,7.302678585,10.66813183,0.914193332,70.63227844,0.895979762,0.121517204,0.546144843,0.8147192,0.155792549,0.486446619,1.294795513
Austria,2011,7.470512867,10.69245338,0.944156826,70.98503876,0.939355612,0.122097492,0.702721,0.789470851,0.14523755,0.406920105,1.305701375
Austria,2012,7.400688648,10.69543934,0.945142388,70.94441223,0.919703901,0.108246133,0.770585775,0.822247744,0.156674996,0.376573861,1.390330195
Austria,2013,7.498802662,10.69280529,0.949809194,70.90379333,0.921734452,0.158495918,0.678936899,0.787312806,0.162603319,0.417099237,1.403200269
Austria,2014,6.949999809,10.68985462,0.898920476,70.86317444,0.885026872,0.108001404,0.566931307,0.779692769,0.17014955,0.407695413,1.353559971
Belarus,2006,5.657649994,9.393488884,0.917898655,61.69322586,0.707080483,-0.252588511,0.708274722,0.605487466,0.269400358,0.593287706,-0.806844234
Belarus,2007,5.616976261,9.480582237,0.857527673,62.40303421,0.667299509,-0.232060432,0.694849432,0.595992029,0.234981403,0.543614388,-0.693266869
Belarus,2009,5.56413126,9.585266113,0.907777846,62.58428192,0.679292619,-0.211040124,0.67554307,0.565596819,0.223291501,0.548332989,-0.532979488
Belarus,2010,5.525923252,9.661614418,0.918000162,62.58211517,0.700064421,-0.171164364,0.70612061,0.566530406,0.208272159,0.589527249,-0.834667921
Belarus,2013,5.876466274,9.74594593,0.922505975,64.41842651,0.723431289,-0.186886862,0.653039157,0.608714163,0.206219658,0.507824779,-0.79056555
Belarus,2014,5.812400818,9.761276245,0.880258858,64.86721039,0.647184551,-0.057713151,0.68150872,0.618929267,0.208535567,0.507746696,-0.661405444
Belgium,2007,7.218839645,10.62809658,0.921602786,70.80735016,0.900870383,0.058330484,0.721093476,0.813477159,0.217604309,0.602238297,1.07608068
Belgium,2008,7.116590977,10.62763977,0.92297703,70.71643066,0.887026727,-0.004406164,0.651800513,0.81312269,0.241797924,0.46313706,0.984077632
Belgium,2010,6.853514194,10.6116724,0.930570185,71.20780182,0.806930244,0.01151025,0.697365582,0.828258514,0.240364328,0.33651647,1.081757545
Belgium,2011,7.111363888,10.61787605,0.936955452,71.51950836,0.880153596,-0.02515786,0.711043894,0.834544539,0.225056365,0.289129466,1.139012814
